FECHA,TMAX,TMIN,NOMBRE
28042021,28,14,RIVADAVIA
28042021,23.6,6.4,ROSARIO AERO
28042021,22.2,8,SALTA AERO
28042021,23.2,8,SAN ANTONIO OESTE AERO
28042021,25,5.5,SAN CARLOS (MZA)
28042021,23.7,9.6,SAN FERNANDO AERO
28042021,27.5,7.4,SAN JUAN AERO
28042021,,6.9,SAN JULIAN AERO
28042021,25.1,10,SAN LUIS AERO
28042021,26.6,9.5,SAN MARTIN (MZA)
28042021,25.7,8.1,SAN RAFAEL AERO
28042021,16,4.1,SANTA CRUZ AERO
28042021,27.6,7.4,SANTA ROSA AERO
28042021,24.3,4.2,SANTA ROSA DE CONLARA AERO
28042021,26.6,7.8,SANTIAGO DEL ESTERO AERO
28042021,24.3,8.8,SAUCE VIEJO AERO
28042021,25.2,9.5,SUNCHALES AERO
28042021,24.4,5,TANDIL AERO
28042021,24.7,11,TARTAGAL AERO
28042021,26.6,10,TERMAS DE RIO HONDO AERO
28042021,27,8,TINOGASTA
28042021,19,10.1,TRELEW AERO
28042021,27.1,9.5,TRENQUE LAUQUEN
28042021,25.8,11.4,TRES ARROYOS
28042021,25.5,12.8,TUCUMAN AERO
28042021,9,2,USHUAIA AERO
28042021,23.5,1.2,USPALLATA
28042021,25.5,9.4,VENADO TUERTO AERO
28042021,26.7,10.7,VICTORICA
28042021,25.1,11.5,VIEDMA AERO
28042021,25.7,5.6,VILLA DE MARIA DEL RIO SECO
28042021,24.6,9.6,VILLA DOLORES AERO
28042021,23.5,7.1,VILLA GESELL AERO
28042021,27.4,7.8,VILLA REYNOLDS AERO
27042021,20.5,12.3,AEROPARQUE AERO
27042021,21.6,5.1,AZUL AERO
27042021,25.8,6.6,BAHIA BLANCA AERO
27042021,17.2,-0.7,BARILOCHE AERO
27042021,-16,-21.6,BASE BELGRANO II
27042021,5.3,0,BASE CARLINI (EX JUBANY)
27042021,1.9,-0.4,BASE ESPERANZA
27042021,0,-6.8,BASE MARAMBIO
27042021,1.7,-0.2,BASE ORCADAS
27042021,-0.3,-8.2,BASE SAN MARTIN
27042021,21.4,7.6,BENITO JUAREZ AERO
27042021,20.9,8.8,BERNARDO DE IRIGOYEN AERO
27042021,23.2,6,BOLIVAR AERO
27042021,22.2,11.5,BUENOS AIRES OBSERVATORIO
27042021,22.3,8.3,CAMPO DE MAYO AERO
27042021,28,11.8,CATAMARCA AERO
27042021,23.2,8.4,CERES AERO
27042021,25.5,9.5,CHAMICAL AERO
27042021,19.2,-1.7,CHAPELCO AERO
27042021,26,12,CHEPES
27042021,25.8,8,CHILECITO AERO
27042021,24.4,7.7,CIPOLLETTI
27042021,23.7,14.7,COMODORO RIVADAVIA AERO
27042021,21.4,10.4,CONCORDIA AERO
27042021,26.7,7.4,CORDOBA AERO
27042021,26,9.9,CORDOBA OBSERVATORIO
27042021,22.7,4.3,CORONEL PRINGLES AERO
27042021,22.9,4.4,CORONEL SUAREZ AERO
27042021,22.6,11.5,CORRIENTES AERO
27042021,22,7.1,DOLORES AERO
27042021,21.5,0.3,EL BOLSON AERO
27042021,12.9,7.4,EL CALAFATE AERO
27042021,22.5,7,EL PALOMAR AERO
27042021,23.7,7,EL TREBOL
27042021,25,7,ESCUELA DE AVIACION MILITAR AERO
27042021,18.5,4.3,ESQUEL AERO
27042021,22.8,8,EZEIZA AERO
27042021,22.7,11.4,FORMOSA AERO
27042021,25.9,10.9,GENERAL PICO AERO
27042021,21.5,9.4,GOBERNADOR GREGORES AERO
27042021,22.7,9,GUALEGUAYCHU AERO
27042021,23.5,9.6,IGUAZU AERO
27042021,24.4,8.5,ITUZAINGO
27042021,26,5.8,JACHAL
27042021,22.6,9.6,JUJUY AERO
27042021,21.8,8.5,JUJUY U N
27042021,24.3,5.5,JUNIN AERO
27042021,21.7,8.4,LA PLATA AERO
27042021,17.5,-1.5,LA QUIACA OBSERVATORIO
27042021,27,10.4,LA RIOJA AERO
27042021,24.9,7.1,LABOULAYE AERO
27042021,22.5,7.5,LAS FLORES
27042021,24.4,10,LAS LOMITAS
27042021,21.4,5,MALARGUE AERO
27042021,21.6,-4.5,MAQUINCHAO
27042021,21,6.6,MAR DEL PLATA AERO
27042021,24.3,5.5,MARCOS JUAREZ AERO
27042021,22.4,8.7,MARIANO MORENO AERO
27042021,24.3,9.4,MENDOZA AERO
27042021,,9.8,MENDOZA OBSERVATORIO
27042021,23,10,MERCEDES AERO (CTES)
27042021,22.3,9.7,MERLO AERO
27042021,22.5,11.5,METAN
27042021,23.5,10.3,MONTE CASEROS AERO
27042021,22.2,10,MORON AERO
27042021,23.2,6.5,NEUQUEN AERO
27042021,24.3,7.5,NUEVE DE JULIO
27042021,23.5,10,OBERA
27042021,22.2,6.6,OLAVARRIA AERO
27042021,25,17.7,ORAN AERO
27042021,22.7,9.6,PARANA AERO
27042021,22.5,8.2,PASO DE INDIOS
27042021,21.9,9.5,PASO DE LOS LIBRES AERO
27042021,24.4,6.8,PEHUAJO AERO
27042021,19.4,9.6,PERITO MORENO AERO
27042021,22.5,7.6,PIGUE AERO
27042021,24.2,7.9,PILAR OBSERVATORIO
27042021,23.5,12.2,POSADAS AERO
27042021,23.6,7.5,PRESIDENCIA ROQUE SAENZ PEÑA AERO
27042021,19.1,11.6,PUERTO DESEADO AERO
27042021,24.4,7.8,PUERTO MADRYN AERO
27042021,21.5,11,PUNTA INDIO B.A.
27042021,24.2,8.5,RAFAELA AERO
27042021,23.6,11.1,RECONQUISTA AERO
27042021,23.7,9.1,RESISTENCIA AERO
27042021,26.8,10.8,RIO COLORADO
27042021,25.2,10.2,RIO CUARTO AERO
27042021,14.5,4.7,RIO GALLEGOS AERO
27042021,8.5,2.8,RIO GRANDE B.A.
27042021,28,11,RIVADAVIA
27042021,23.7,7.1,ROSARIO AERO
27042021,20.4,7,SALTA AERO
27042021,26.7,6,SAN ANTONIO OESTE AERO
27042021,24,3,SAN CARLOS (MZA)
